행사분류,행사구분,행사분야,행사명,행사명(서브타이틀),행사 시작일자,행사 종료일자,행사 장소,입장료,주최,주관,담당자/공연문의 정보,단체문의 정보,예매문의 정보,관련 사이트,티켓 예약
Exhibition,일반 전시,의료/건강/스포츠,창립 101주년기념 2026 국제종합학술대회 및 제23회 서울국제치과기자재전시회,Seoul International Dental Exhibition &amp; Scientific Congress 2026 (SIDEX 2026),2026.05.29,2026.05.31,"Hall C, D",미정,서울특별시치과의사회,SIDEX 2026  조직위원회,"담당자명 : 강영범
연락처 : 02-498-9146
팩스 : 02-498-9148
이메일 : sidex@sda.or.kr",,,http://www.sidex.or.kr,
Exhibition,주최 전시,기타,2026 글로벌 탤런트 페어,2026 GLOBAL TALENT FAIR,2026.06.01,2026.06.02,"Hall B, 컨퍼런스룸E","무료		

","산업통상부, 고용노동부","대한무역투자진흥공사, 한국산업인력공단, 국립국제교육원, 세종일자리경제진흥원, 경기도일자리재단, 서초구청, 금융감독원","담당자명 : 장혜연
연락처 : 02-3460-7877
팩스 : 
이메일 : jf@kotra.or.kr",,, https://globaltalentfair.kotra.or.kr,
Exhibition,일반 전시,예술/디자인,조형아트서울,PLAS,2026.06.04,2026.06.07,Hall B,"일반권: 25,000원",청작아트,청작아트,"담당자명 : 최주연
연락처 : 02-3446-3031
팩스 : 
이메일 : plasfair@hanmil.net",,,https://plasticartseoul.com,
Exhibition,주최 전시,관광/오락,제41회 서울국제관광전,The 41st Seoul International Travel Fair,2026.06.04,2026.06.07,Hall C,일반 1만원 / 학생 5천원,"서울국제관광전조직위원회, (사)국제관광인포럼",(주)코트파,"담당자명 : 연정아
연락처 : 02-757-6161
팩스 : 02-757-6089
이메일 : kotfa1986@naver.com",,,https://kotfa.co.kr,
Exhibition,주최 전시,건설/건축/인테리어,서울국제가구 및 인테리어산업대전(소펀&amp;라이프쇼),Seoul International Furniture &amp; Life Show,2026.06.04,2026.06.07,Hall A,미정,대한가구산업협동조합연합회,대한가구산업협동조합연합회,"담당자명 : 이민규
연락처 : 031-991-5300
팩스 : 
이메일 : mumu9376@kffic.kr",,,https://www.sofurn.or.kr/Main,
Exhibition,주최 전시,농수산/식음료,제23회 국제차문화대전,TEA WORLD FESTIVAL 2026,2026.06.04,2026.06.07,Hall D,5000원,티월드페스티벌,티월드페스티벌,"담당자명 : 신승우
연락처 : 02-6000-8000
팩스 : 02-6000-7114
이메일 : teaworld@empas.com",,,http://www.teanews.com/,
Convention,국내 회의,교육/출판,제 22회 싱가폴 유학 박람회,22TH SINGAPORE EDUCATION FAIR,2026.06.06,2026.06.06,컨퍼런스룸(남) 3F 327호,0,신세기유학원,신세기유학원,"담당자명 : 장혜린
연락처 : 010-8702-8545
팩스 : 
이메일 : SHINSEKI@UHAK114.COM",,,http://singaporefair.org/,
Exhibition,주최 전시,교육/출판,2026년 제11회 일본유학&amp;취업박람회,,2026.06.06,2026.06.07,컨퍼런스룸(남) 3F,무료,사단법인 한일협회,,"담당자명 : 
연락처 : 02-3452-5999
팩스 : 
이메일 : koja@koja.or.kr",,,http://www.kojafair.org,
Exhibition,일반 전시,기계/과학/기술,2026 스마트테크 코리아_글로벌 공급망 혁신대전,SMART TECH KOREA 2026_Global Supply Chain KOREA,2026.06.10,2026.06.12,Hall D,"20,000원 (사전등록 무료)",글로벌공급망혁신대전 조직위원회,(주)엑스포럼,"담당자명 : 송예림 PM
연락처 : 02-6000-6696
팩스 : 
이메일 : syl0206@exporum.com",,,https://smarttechkorea.com/,
Exhibition,일반 전시,전기/전자/IT,2026 스마트테크 코리아_인공지능&amp;빅데이터쇼,STK 2026_AI &amp; BIG DATA SHOW,2026.06.10,2026.06.12,Hall A,"20,000원","한국인공지능산업협회, AI타임스, 엑스포럼",,"담당자명 : 김미래
연락처 :  02-6000-6712/7717
팩스 : 
이메일 :  tech@smarttechkorea.com",,,https://aibigdatashow.com/,
Exhibition,일반 전시,전기/전자/IT,2026 스마트테크 코리아_스마트테크쇼/시큐테크쇼,STK 2026_Smart Tech Show / Secu Tech Show,2026.06.10,2026.06.12,Hall B,"20,000원 (사전 등록시 무료)","스마트테크쇼 조직위원회, 시큐테크쇼 조직위원회, 엑스포럼",,"담당자명 : 김미래
연락처 :  02-6000-6712/7717
팩스 : 
이메일 : tech@smarttechkorea.co.kr",,,https://smarttechkorea.com/Main,
Exhibition,일반 전시,기계/과학/기술,2026 스마트테크 코리아_디지털 유통•물류대전 / 로보테크쇼,STK 2026_Retail &amp; Logis Tech Show / Robot Tech Show,2026.06.10,2026.06.12,Hall C,"20,000원 (사전 등록시 무료)","(디지털 유통물류대전) 산업통상자원부 / (로보테크쇼) 로봇신문, 엑스포럼",,"담당자명 : 김미래
연락처 : 02-6000-6712
팩스 : 
이메일 : tech@smarttechkorea.co.kr",,,https://smarttechkorea.com,
Convention,국내 회의,기계/과학/기술,"전기자동차 최신 기술 동향(파워트레인, 배터리, 충전시스템, 자율주행)",Recent Trends in Electric Vehicle Technologies,2026.06.11,2026.06.11,컨퍼런스룸(남) 3F,"사전등록, 현장등록",대한전기자동차학회,대한전기자동차학회,"담당자명 : 이기업
연락처 : 02-970-9985
팩스 : 
이메일 : kiev@kiev.or.kr",,,https://kiev.or.kr/,
Convention,국내 회의,교육/출판,IDP 호주 • 캐나다 유학박람회,IDP Australia • Canada Study Abroad Fair,2026.06.13,2026.06.13,컨퍼런스룸(남) 3F,무료,아이디피에듀케이션 / IDP Education,아이디피에듀케이션 / IDP Education,"담당자명 : 최은선 / Sun Choi
연락처 : 02-550-0306 / (82) 2-550-0306
팩스 : 02-550-0304 / (82) 2-550-0304
이메일 : sun.choi@idp.com",,,https://www.idp.com/korea/events/campaign/fair-au-ca/?utm_source=coex&amp;utm_medium=organic&amp;utm_campaign=KR_IDP_gen_au-ca-fair-exhibition_coex_&amp;utm_content=may___awareness,
Convention,국내 회의,의료/건강/스포츠,MSPAC 2026 제7회 메디게이트 성공개원 정보&amp;학술 컨퍼런스,MSPAC 2026 MEDIGATE Successful Practice &amp; Academic Conference,2026.06.14,2026.06.14,컨퍼런스룸E,"얼리버드 : 33,000원 I 사전등록 : 55,000원 I 현장등록 : 110,000원",메디게이트,메디게이트,"담당자명 : 김서영
연락처 : 02-2039-5976
팩스 : 02-718-8168
이메일 : sykim@medicnc.co.kr",,,https://www.medigate.net/seminar,
Exhibition,주최 전시,기타,제33회 서울지방세무사회 정기총회,,2026.06.15,2026.06.15,Hall B1,무료 ,서울지방세무사회 ,서울지방세무사회 ,"담당자명 : 오진아
연락처 : 02-6011-8669
팩스 : 02-598-3216
이메일 : sensejina@gmail.com",,,,
Exhibition,주최 전시,기계/과학/기술,넥스트라이즈 2026,"NextRise 2026, Seoul",2026.06.18,2026.06.19,"Hall A, B",,"한국산업은행, 한국무역협회",,"담당자명 : 박가현 차장, 라동엽 과장
연락처 : 02-6000-5849
팩스 : 
이메일 : dy.rha@kita.or.kr",,,https://www.nextrise.co.kr/ko,
Exhibition,일반 전시,농수산/식음료,2026 서울국제주류&amp;와인박람회,Seoul Internationl Wines &amp; Spirits Expo 2026,2026.06.18,2026.06.20,Hall C,미,㈜한국국제전시,㈜한국국제전시,"담당자명 : 이성연
연락처 : 02-761-2526
팩스 : 
이메일 : info@siwse.com",,,http://www.siwse.com/,
,,,,,,,,,,,,,,,
